GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
1-and-1 :: Attach QA Reports Plugin for Maven,net.oneandone.maven.plugins.attachqars,AttachMojo,0,103,0,6,0,12,0,5,0,2
1-and-1 :: Attach QA Reports Plugin for Maven,net.oneandone.maven.plugins.attachqars,GetLatestVersionMojo,5,131,0,2,0,26,0,5,0,4
1-and-1 :: Attach QA Reports Plugin for Maven,net.oneandone.maven.plugins.attachqars,FileToClassifiers,0,102,0,0,0,13,0,6,0,6
